epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,604.35,0.78582,0.72458,1.20518,0.85642,0.82543,0.88552,0.64573,0.97888,0.76846,1.4183,0.000534456,0.000534456,0.000534456
57,614.549,0.7572,0.69832,1.19156,0.87535,0.79641,0.87421,0.6367,0.97577,0.80351,1.38931,0.000515308,0.000515308,0.000515308
58,624.602,0.75569,0.66843,1.18602,0.84665,0.85106,0.88147,0.62258,0.99792,0.80008,1.4505,0.000496274,0.000496274,0.000496274
59,634.818,0.7461,0.66318,1.18269,0.87477,0.8331,0.8862,0.64987,0.94117,0.74078,1.38824,0.000477373,0.000477373,0.000477373
60,645.315,0.73191,0.66705,1.17541,0.91569,0.78327,0.8871,0.64888,0.9853,0.81363,1.44843,0.000458624,0.000458624,0.000458624
61,655.834,0.71374,0.64667,1.16142,0.865,0.83105,0.88706,0.63757,1.00106,0.78038,1.40577,0.000440046,0.000440046,0.000440046
62,666.65,0.71504,0.64126,1.15404,0.88739,0.80321,0.88028,0.62934,1.01099,0.83543,1.41473,0.000421656,0.000421656,0.000421656
63,677.35,0.72454,0.63181,1.16226,0.82047,0.8584,0.87884,0.64606,0.95535,0.75955,1.35464,0.000403473,0.000403473,0.000403473
64,687.177,0.70675,0.60877,1.14964,0.83412,0.83563,0.86425,0.63672,0.95448,0.7838,1.39444,0.000385515,0.000385515,0.000385515
65,697.281,0.70996,0.6095,1.14856,0.85876,0.82199,0.86862,0.63112,0.9778,0.76535,1.38325,0.000367799,0.000367799,0.000367799
66,707.083,0.68934,0.60187,1.1387,0.84752,0.84722,0.87049,0.64285,0.95038,0.82364,1.3771,0.000350343,0.000350343,0.000350343
67,717.126,0.67403,0.58673,1.13637,0.8827,0.82025,0.8853,0.64165,0.97293,0.79984,1.40764,0.000333165,0.000333165,0.000333165
68,727.512,0.6816,0.59923,1.13343,0.86823,0.84703,0.88534,0.63894,0.98358,0.75438,1.43085,0.000316281,0.000316281,0.000316281
69,738.17,0.68648,0.59242,1.13998,0.8656,0.82982,0.88894,0.63851,0.99666,0.76363,1.39351,0.000299707,0.000299707,0.000299707
70,748.479,0.69879,0.58364,1.15258,0.87002,0.83239,0.88981,0.63831,1.00077,0.75332,1.40259,0.000283461,0.000283461,0.000283461
71,758.595,0.65648,0.56891,1.10985,0.86805,0.82225,0.89005,0.6513,0.98134,0.74482,1.42256,0.000267558,0.000267558,0.000267558
72,768.708,0.64116,0.55648,1.10343,0.87645,0.86041,0.89871,0.65215,0.9957,0.72516,1.42742,0.000252014,0.000252014,0.000252014
73,778.448,0.66497,0.56437,1.12505,0.84425,0.88009,0.89826,0.64612,0.98752,0.7333,1.41709,0.000236844,0.000236844,0.000236844
74,788.505,0.64005,0.55611,1.11091,0.82064,0.85958,0.88429,0.64271,1.01031,0.78288,1.41754,0.000222063,0.000222063,0.000222063
75,798.432,0.63457,0.55246,1.09997,0.84795,0.85465,0.88836,0.66088,0.97098,0.72085,1.40009,0.000207686,0.000207686,0.000207686
76,808.45,0.63106,0.55271,1.10528,0.84607,0.87751,0.88709,0.65012,0.95935,0.76045,1.3929,0.000193728,0.000193728,0.000193728
77,818.612,0.62735,0.53868,1.10336,0.84803,0.87277,0.8885,0.65515,0.96948,0.72481,1.39721,0.000180201,0.000180201,0.000180201
78,828.658,0.64876,0.55722,1.12117,0.84715,0.86256,0.89204,0.65675,0.97643,0.73249,1.41088,0.000167119,0.000167119,0.000167119
79,838.462,0.63616,0.54072,1.11497,0.83585,0.85891,0.89538,0.65497,0.97131,0.73705,1.4095,0.000154495,0.000154495,0.000154495
80,848.572,0.62981,0.52629,1.10949,0.84747,0.84921,0.89558,0.64496,0.9926,0.73217,1.42596,0.000142342,0.000142342,0.000142342
81,858.517,0.62037,0.51536,1.08703,0.87154,0.8677,0.90211,0.63999,0.98047,0.71197,1.41854,0.000130671,0.000130671,0.000130671
82,868.622,0.61389,0.52729,1.10287,0.89225,0.82527,0.89904,0.65277,0.96407,0.71514,1.39653,0.000119494,0.000119494,0.000119494
83,879.299,0.64388,0.54437,1.11769,0.86241,0.82453,0.88927,0.64781,0.97682,0.72622,1.40791,0.000108822,0.000108822,0.000108822
84,889.471,0.61498,0.52408,1.0883,0.85578,0.8198,0.89389,0.64989,0.96538,0.72564,1.38836,9.86659e-05,9.86659e-05,9.86659e-05
85,899.582,0.60127,0.52321,1.08835,0.8285,0.86031,0.89407,0.65296,0.96589,0.71874,1.39702,8.90352e-05,8.90352e-05,8.90352e-05
86,910.016,0.62344,0.52584,1.10917,0.85665,0.82729,0.89151,0.64159,0.97325,0.73166,1.40671,7.99397e-05,7.99397e-05,7.99397e-05
87,920.751,0.62284,0.52588,1.10233,0.85981,0.84016,0.88653,0.64655,0.96935,0.72629,1.4078,7.13883e-05,7.13883e-05,7.13883e-05
88,930.574,0.59962,0.51,1.08456,0.88258,0.83158,0.89234,0.65162,0.96174,0.73686,1.39549,6.33893e-05,6.33893e-05,6.33893e-05
89,940.777,0.59622,0.51967,1.08956,0.88682,0.84016,0.89825,0.6526,0.95711,0.72,1.3874,5.59508e-05,5.59508e-05,5.59508e-05
